StudentID,Midterm,Lab,Final,Bonus,Class
18125100,7.0,9.0,8.5,0.0,18CTT1
18125101,8.5,8.8,7.0,0.0,18CTT1
18125102,5.0,7.3,5.5,0.0,18CTT1
18125103,3.5,7.4,6.0,0.0,18CTT1
18125104,9.0,10.0,9.0,0.0,18CTT1
18125105,8.0,9.0,7.5,0.0,18CTT1
18125106,7.5,8.4,8.0,0.0,18CTT1
18125107,5.5,8.0,7.0,0.0,18CTT1
18125108,8.0,9.3,8.0,0.0,18CTT1
18125109,7.0,8.1,8.0,0.0,18CTT1
18125010,7.0,9.0,8.5,0.0,18CTT2
18125011,8.5,8.8,7.0,0.0,18CTT2
18125012,5.0,7.3,5.5,0.0,18CTT2
18120513,3.5,7.4,6.0,0.0,18CTT2
18125014,9.0,10.0,9.0,0.0,18CTT2
15125015,8.0,9.0,7.5,0.0,18CTT2
18125016,7.5,8.4,8.0,0.0,18CTT2
18125017,5.5,8.0,7.0,0.0,18CTT2
18125018,8.0,9.3,8.0,0.0,18CTT2
18125019,7.0,8.1,8.0,0.0,18CTT2
18125030,7.0,9.0,8.5,0.0,18CTT4
18125031,8.5,8.8,7.0,0.0,18CTT4
18125032,5.0,7.3,5.5,0.0,18CTT4
18125033,3.5,7.4,6.0,0.0,18CTT4
18125034,9.0,10.0,9.0,0.0,18CTT4
18125035,8.0,9.0,7.5,0.0,18CTT4
18125036,7.5,8.4,8.0,0.0,18CTT4
18125037,5.5,8.0,7.0,0.0,18CTT4
18125038,8.0,9.3,8.0,0.0,18CTT4
18125039,7.0,8.1,8.0,0.0,18CTT4
