StudentID,Midterm,Lab,Final,Bonus,Class
18125101,7.0,9.0,8.5,0.0,18CTT1
18125102,8.5,8.8,7.0,0.0,18CTT1
18125103,5.0,7.3,5.5,0.0,18CTT1
18125104,3.5,7.4,6.0,0.0,18CTT1
18125105,9.0,10.0,9.0,0.0,18CTT1
18125106,8.0,9.0,7.5,0.0,18CTT1
18125107,7.5,8.4,8.0,0.0,18CTT1
18125108,5.5,8.0,7.0,0.0,18CTT1
18125109,8.0,9.3,8.0,0.0,18CTT1
18125010,7.0,8.1,8.0,0.0,18CTT2
18125011,7.0,9.0,8.5,0.0,18CTT2
18125012,8.5,8.8,7.0,0.0,18CTT2
18120513,5.0,7.3,5.5,0.0,18CTT2
18125014,3.5,7.4,6.0,0.0,18CTT2
15125015,9.0,10.0,9.0,0.0,18CTT2
18125016,8.0,9.0,7.5,0.0,18CTT2
18125017,7.5,8.4,8.0,0.0,18CTT2
18125018,5.5,8.0,7.0,0.0,18CTT2
18125019,8.0,9.3,8.0,0.0,18CTT2
18125030,7.0,8.1,8.0,0.0,18CTT4
18125031,7.0,9.0,8.5,0.0,18CTT4
18125032,8.5,8.8,7.0,0.0,18CTT4
18125033,5.0,7.3,5.5,0.0,18CTT4
18125034,3.5,7.4,6.0,0.0,18CTT4
18125035,9.0,10.0,9.0,0.0,18CTT4
18125036,8.0,9.0,7.5,0.0,18CTT4
18125037,7.5,8.4,8.0,0.0,18CTT4
18125038,5.5,8.0,7.0,0.0,18CTT4
18125039,8.0,9.3,8.0,0.0,18CTT4
